word	meaning	example	example_ja
galvanise	to shock or inspire someone into action	The speech galvanised the audience into protesting.	その演説は聴衆を行動に駆り立てた。
game	an activity played for entertainment	We played a fun game at the party.	私たちはパーティーで楽しいゲームをした。
gap	a space or difference between two things	There was a gap between the two buildings.	その二つの建物の間には隙間があった。
gaping	wide open, often in surprise or awe	He stared at the news with a gaping mouth.	彼は口を大きく開けてニュースを見つめた。
garbage	waste material; trash	Please take out the garbage before it smells.	臭くなる前にゴミを出してください。
garment	an item of clothing	She folded each garment carefully.	彼女は一枚一枚服を丁寧にたたんだ。
gather	to collect or come together	They gathered information from various sources.	彼らは様々な情報源から情報を集めた。
gauge	to measure or estimate something	It's hard to gauge his real feelings.	彼の本当の気持ちを測るのは難しい。
gear	equipment or tools needed for a particular purpose	Make sure you have all your hiking gear.	ハイキング用具をすべて揃えてください。
gender	the state of being male, female, or other	Discussions about gender have become more open.	ジェンダーについての議論はよりオープンになってきた。
gene	a unit of heredity in living organisms	Eye color is determined by genes.	目の色は遺伝子によって決まる。
genetically	in a way that relates to genes or heredity	Some diseases are genetically inherited.	いくつかの病気は遺伝的に受け継がれる。
generalisation	a broad statement that applies to many cases	It's dangerous to make a generalisation based on one experience.	一度の経験から一般化するのは危険だ。
generate	to produce or create something	The engine generates electricity.	そのエンジンは電気を生み出す。
generation	all of the people born and living at about the same time	This generation grew up with smartphones.	この世代はスマートフォンと共に育った。
generosity	the quality of being kind and giving	Her generosity impressed everyone.	彼女の寛大さは皆を感動させた。
genetic	relating to genes or heredity	Genetic diseases can be inherited.	遺伝性の病気は受け継がれることがある。
genre	a category of artistic work	Horror is my favorite movie genre.	ホラーは私のお気に入りの映画ジャンルだ。
genuine	real and sincere	His apology sounded genuine.	彼の謝罪は本物のように聞こえた。
geometric	related to geometry or shapes	The painting has a strong geometric style.	その絵画は幾何学的なスタイルが強い。
geothermal	relating to the heat of the earth's interior	Iceland uses a lot of geothermal energy.	アイスランドは地熱エネルギーを多く利用している。
germination	the process of a seed starting to grow	Warmth and water help seed germination.	温かさと水が種子の発芽を助ける。
get [stand] in the way of ~	to obstruct or prevent progress	Don't let fear stand in the way of your dreams.	恐れがあなたの夢の邪魔をしないように。
get ~ back on track	to return something to the right course	We need to get this project back on track.	このプロジェクトを軌道に戻す必要がある。
get ~ under control	to bring something into a manageable state	He finally got his emotions under control.	彼はついに自分の感情を抑えた。
get A across to B	to communicate an idea clearly to someone	It's hard to get my point across to him.	彼に自分の考えを伝えるのは難しい。
get A ready for B	to prepare A for B	I need to get the room ready for the meeting.	会議のために部屋を準備する必要がある。
get acquainted with ~	to become familiar with someone or something	I got acquainted with my new colleagues quickly.	私は新しい同僚たちとすぐに親しくなった。
get along with ~	to have a good relationship with someone	She gets along well with her neighbors.	彼女は近所の人たちと仲良くしている。
get at ~	to reach or imply something	What exactly are you trying to get at?	あなたは一体何を言おうとしているの？
get down to ~	to start seriously focusing on something	Let's get down to business.	本題に入りましょう。
get in contact with ~	to communicate with someone	I finally got in contact with my old friend.	やっと昔の友人と連絡が取れた。
get into ~	to become involved or interested in something	He got into photography recently.	彼は最近写真にハマった。
get married [to ~]	to become someone's spouse	She got married to her college sweetheart.	彼女は大学時代の恋人と結婚した。
get nowhere	to make no progress	We got nowhere with that discussion.	あの議論では何の進展もなかった。
get on one's nerves	to annoy someone	His constant humming gets on my nerves.	彼の絶え間ないハミングが私をイライラさせる。
get out of ~	to escape or avoid something	He tried to get out of doing his homework.	彼は宿題をやるのを逃れようとした。
get over ~	to recover from something	It took her months to get over the breakup.	彼女は別れを乗り越えるのに数ヶ月かかった。
get rid of ~	to remove or throw away something unwanted	I need to get rid of these old clothes.	この古い服を処分しなければならない。
get the better of ~	to defeat or overcome something	His curiosity got the better of him.	彼は好奇心に勝てなかった。
get through with ~	to finish or complete something	I just got through with my assignments.	宿題をやっと終えた。
get to ~	to arrive at a place or reach a point	We finally got to the top of the mountain.	私たちはついに山頂に到達した。
get to one's feet	to stand up	He quickly got to his feet when his name was called.	彼は名前を呼ばれるとすぐに立ち上がった。
get used to ~	to become accustomed to something	I'm still getting used to my new job.	新しい仕事にまだ慣れている最中だ。
get lost	to lose one's way or to go away (rudely)	We got lost in the forest.	私たちは森の中で迷子になった。
geyser	a natural hot spring that erupts steam or water	The geyser erupted every hour.	その間欠泉は毎時噴き上がった。
gigantic	extremely large	They built a gigantic shopping mall.	彼らは巨大なショッピングモールを建てた。
gimmick	a trick or device used to attract attention	The ad campaign was full of gimmicks.	その広告キャンペーンはギミックだらけだった。
girder	a large beam that supports structures	The steel girder supports the entire bridge.	その鉄製の梁が橋全体を支えている。
give A a hand	to help someone	Can you give me a hand with these boxes?	この箱を運ぶのを手伝ってくれる？
give A a ride	to drive someone somewhere	I gave him a ride to the station.	彼を駅まで車で送った。
give away ~	to give something for free	They gave away free samples at the event.	彼らはイベントで無料サンプルを配った。
give birth to ~	to produce offspring	She gave birth to a healthy baby boy.	彼女は元気な男の子を出産した。
give in to ~	to surrender or yield to something	He gave in to temptation and ate the cake.	彼は誘惑に負けてケーキを食べた。
give off ~	to emit or release something like a smell or light	The flowers gave off a sweet fragrance.	花は甘い香りを放っていた。
give rise to ~	to cause something to happen	His careless words gave rise to a misunderstanding.	彼の不注意な言葉が誤解を生んだ。
give the green light to ~	to approve or allow something	The boss gave the green light to our project.	上司が私たちのプロジェクトにゴーサインを出した。
give up (~)	to quit or stop doing something	I decided to give up smoking.	私は喫煙をやめることにした。
give way to ~	to be replaced by something else or to yield	The old building gave way to a modern skyscraper.	古い建物は近代的な高層ビルに取って代わられた。
